Node1,Node2
P17568,P47985
Q92922,Q96GM5
P57772,P62266
Q17RG1,Q96G21
P51575,Q9H244
Q7KZ85,Q9Y5B9
Q86Y38,Q9UBV7
P09661,Q15427
P04844,P51571
P61086,Q05086
Q14CX7,Q5VZE5
O60603,Q8IUC6
P42285,Q9BVI4
O95996,P63208
O43581,P60880
P19838,Q92793
Q8NHY2,Q96SW2
Q6XQN6,Q9BXI3
O14745,P40879
P25054,Q9Y2T1
Q96NT0,Q9Y487
P15153,Q7L576
P52732,Q02224
Q03701,Q6RFH5
Q8TED0,Q9NYH9
Q15006,Q9GZP9
Q96EL3,Q9NVS2
P15313,Q8NEY4
Q96NC0,Q9NW64
P17568,Q16718
O75529,P20226
Q96GC5,Q9P0M9
Q14524,Q8TD43
P60568,Q9GZX6
P55735,Q8WUM0
P04233,P82675
P04233,P62241
P27695,Q9NUW8
Q8NFH4,Q8WUM0
P60174,Q9NQ88
P27037,Q7Z4P5
O15397,P62861
Q14028,Q96GE6
P52732,Q15003
P10244,P28749
P28072,Q9UL46
O75832,P62195
Q6NTE8,Q9P0M9
Q9NV31,Q9NW08
Q8IXK0,Q9BSM1
P35913,Q14028
Q6P5R6,Q9UHA3
P10415,Q00987
Q07955,Q09161
P04233,P52815
P35916,P55075
Q13614,Q8NEB9
O43159,O43463
P04233,P39023
Q13232,Q9NRF8
Q02543,Q969S3
Q96JI7,Q9UBP0
P09919,P60568
P25398,Q9H0A0
O00487,O43396
O95777,P52298
P16144,P18054
P52732,Q14674
Q00987,Q8WWW0
O60563,Q8N7H5
P09341,P80162
P02647,P10909
O95168,P15954
P07099,P46439
P25787,P62191
P09919,P40763
P53803,P63272
P10606,Q8TAA5
O75391,Q7Z4H9
Q9BYC8,Q9H4K7
P06493,Q02539
Q9NSI2,Q9UNQ2
Q13423,Q9Y6E7
P22090,P62906
Q6STE5,Q8WUB8
O43914,Q9UIW2
Q01081,Q9UMS4
O94979,Q9HCU5
P16104,Q9Y5B9
O75326,P05556
P05231,P14210
Q66K64,Q9C0C7
P28482,Q68CJ9
P02649,P49768
Q13332,Q8WWF5
O60739,P62280
O15516,Q92793
P62917,Q9NZM5
Q13895,Q9BYG3
P26368,Q14498
O14929,P84243
O15528,P02774
Q07955,Q9Y3B4
O60925,Q9UHV9
Q9BXI3,Q9NPB1
P23919,Q9BXI3
Q8TB72,Q9UKV8
P01275,P07492
P82664,Q7Z2W9
P42766,Q9GZV4
P19525,P20591
O75638,P43357
O00194,Q8NFW9
Q9HCJ0,Q9UKV8
Q13148,Q7Z333
O15264,P42771
O00399,Q9NP97
Q969E8,Q96G21
P61619,Q9HB96
P33992,P78396
O00746,Q13232
O95299,Q9Y375
P19235,P40225
P15153,P31749
Q8WYA6,Q9GZX7
O00238,O95972
Q9H0U6,Q9P015
P21815,Q9NZW4
Q6ZSY5,Q9H7J1
Q4U2R6,Q96A35
O75821,P08865
P04049,P19838
P09661,Q2TBE0
Q5T6F0,Q9C0K7
O14627,Q6SJ96
Q13541,Q15382
Q05048,Q9H0L4
Q9UI17,Q9UL12
P19387,Q9NPJ6
Q96GX9,Q9BV20
Q9ULQ0,Q9Y6E0
P82664,Q96EL2
O00590,Q99616
P60468,P84098
O43818,Q9Y221
O00459,P17861
P04908,P62805
P05198,Q14152
P00747,P05546
O95168,P10606
P16220,P18846
P19387,Q9UHW5
P02708,Q07001
P03901,P10606
P06756,P49747
O60783,P82673
Q8IU89,Q9NY59
O00459,P06241
P68400,Q96ST3
P01350,P54707
P42766,Q9UHA3
P0CE72,P58743
O00161,O43752
P11233,P45983
Q14676,Q99728
P62829,P82664
P05386,P62917
Q9BYD2,Q9P015
O15397,Q92973
P02585,P10916
Q9P2H3,Q9UG01
P25092,Q86UT5
O95863,Q9Y4K0
Q13895,Q9BRS2
O43765,Q9H3Z4
P01730,P14151
O15155,P51809
P32248,P51681
P11233,P30154
P43490,Q9NWW6
P14678,Q15428
P22694,P61224
P05198,P62249
H0YHX9,Q02543
O75448,Q9NPJ6
Q14562,Q8IYB3
Q8N5B7,Q9NY59
Q96LB4,Q9Y5K8
Q13148,Q16637
Q96DZ1,Q96Q80
P14174,P61073
P63208,Q8NI29
P03905,P31930
O75143,Q6ZNE5
P62714,Q9Y3A3
P62913,P82933
Q15306,Q9BYV9
Q15031,Q5JTZ9
O43513,P36954
Q13405,Q9P0M9
P41091,P62861
P40692,Q86YC2
O95931,P84243
P07197,P48681
P28482,P42574
Q96S97,Q9Y342
Q15843,Q9UBT2
P02749,P27169
A0AVK6,P52732
Q9GZL7,Q9Y221
P40429,Q9P0M9
P04792,Q14103
O95299,P30049
P31150,P62491
P19784,Q8NEV1
P08236,Q6UWM9
Q96B49,Q9NS69
Q09161,Q15459
P62877,Q03468
P48730,Q99835
Q06278,Q08426
P41091,P49770
P19387,Q8WX92
P49720,P54578
P02100,P69905
Q8TCD5,Q969T7
P01730,P26951
P05107,Q9UMF0
Q03701,Q13601
P07910,Q9H6S0
P25398,P62854
P05106,Q9UQP3
Q6P988,Q9Y6F9
P36959,Q14432
P84243,Q9UPN9
P05026,P54707
O43447,Q15459
O15327,Q92562
O96009,P43699
P01009,P02647
Q15269,Q9UNQ2
P04062,Q9NY59
P30405,Q02156
O95837,Q00722
O00459,O15357
P09234,P83876
P00505,P31040
P51677,P78423
Q9C086,Q9Y230
P35080,P50552
Q92797,Q9Y5Q9
Q4U2R6,Q9Y399
O15239,O75251
Q15648,Q9UHA3
O94805,Q15532
Q9BYQ0,Q9BYR8
P17947,Q01196
Q13873,Q16671
P60510,P62714
Q9Y5J1,Q9Y6V7
Q96R06,Q9Y448
P01584,P18510
P49589,P56192
O96014,Q9ULW2
P46783,P69905
Q14CS0,Q9BUN8
Q96DP5,Q96GW9
P36957,Q99798
P54296,Q13114
O00479,P62917
P61313,Q9NZM5
Q02241,Q9NQS7
O15047,Q5TEC6
P45974,P62987
Q52LR7,Q9Y230
Q9BVA1,Q9H169
P54278,Q86YC2
P25398,Q9Y5J1
Q96RT7,Q9Y5B8
Q14562,Q9P013
O95822,Q9NUB1
H0YHX9,P42766
Q9HAW8,Q9NPZ5
O00401,Q9UHR4
P20138,Q06124
P30049,P56378
P07585,P50281
P62318,Q15427
P62805,Q13352
Q9NQT4,Q9Y3B2
P22087,P38432
P55789,Q6ZRP7
P10323,Q05996
Q8NEB9,Q8TDY2
P49406,Q9BQ48
P53803,Q9Y5B9
P01116,P46531
Q92466,Q96JK2
P11216,P13807
P24534,P25788
P82664,Q9HB96
P42858,P54253
P08151,Q92831
O00159,P50479
P05362,P19174
P02741,Q92496
A8MTJ3,Q9NZQ8
P11216,P35573
Q13761,Q9UL17
P09105,P16452
P18206,Q14247
P00367,P05091
Q92843,Q92934
Q8N7H5,Q92541
P47813,Q9UBQ5
P82664,P82932
O60566,P52732
Q03701,Q8IWA0
Q1MSJ5,Q8TC76
Q9NZJ6,Q9Y3A0
O00459,P10827
P05386,Q05639
P14923,Q02413
P68366,Q13509
O15498,Q96AJ9
Q01860,Q9Y261
O43511,Q92911
P62891,Q9NZM5
