Node1,Node2
4189,7230
346,662
3994,6883
813,3984
6077,6059
1756,3320
3737,4093
3023,3129
7322,7406
5690,7276
1083,1782
2691,2992
969,7052
2570,3202
3884,5944
5477,5574
2378,5817
2889,3577
167,3157
3065,6738
3344,6485
313,4313
2543,3173
4198,7178
5960,6173
2887,4757
2030,7322
5734,7315
3854,6741
939,6575
87,2498
6381,6475
150,6908
1847,3446
2166,2966
1301,2721
3115,3959
3144,3631
6484,7239
1918,2398
2949,4544
1475,3442
5002,5136
2669,5857
2865,7348
1045,2605
5252,5621
1514,1635
2022,2037
3252,6360
7445,2876
1330,5354
107,2743
1225,1799
1110,5277
57,6754
1514,2328
3726,7018
1390,1707
1768,3815
984,1200
5329,5369
4968,5288
2587,6825
3252,3260
587,2828
3384,4796
4138,5109
6715,7233
174,1499
1224,3425
1653,3349
3208,3673
383,5429
3334,7160
459,5349
3151,6738
736,1443
2955,3391
1514,3385
6597,7200
766,5692
1941,6475
2976,3182
2081,5837
1949,4496
1482,5798
5415,7171
3696,5006
351,1174
1799,2091
508,4268
2038,5261
3082,6883
2116,2558
359,5855
1045,3902
194,2505
6057,6883
1430,3119
1443,2037
2742,3497
6606,6911
1045,3446
3562,3949
7442,4786
2101,2413
2353,6410
526,2137
2878,6162
483,6912
4500,5317
1892,7245
3025,7293
790,6667
1591,6875
1509,1605
468,1766
1207,2578
1024,3396
3144,4423
5060,6104
3025,6572
5878,6240
1392,7165
858,7132
7319,7334
2303,3157
1227,6506
3384,7266
6277,6921
3123,7156
6883,7234
4029,6316
2415,6825
704,5945
406,599
798,7428
1241,4115
2971,5064
2043,4029
1801,1918
4406,6038
722,5918
3028,3090
893,1799
3961,5942
2027,2877
2054,7156
209,314
2572,3398
3257,3284
3651,6078
745,5003
1577,7284
2866,3059
5814,6711
1020,5693
319,6350
4169,7163
3172,5052
3669,5331
1402,2834
1678,3350
5518,5540
197,1278
5346,7414
551,4609
2189,3572
3130,5942
3058,6782
1184,4794
1479,7153
3744,6605
3572,5352
831,6972
3275,6959
338,5198
2735,6735
3979,5451
2451,5818
3284,4928
3076,3896
3252,6746
454,1658
6004,6505
7230,7367
5335,7331
1087,1594
865,4876
267,6141
3359,7075
561,6767
1667,6700
6331,6482
4435,4613
3826,5136
6686,6687
889,4096
4495,4613
1804,6590
5866,6331
1591,2253
4796,6300
4288,6590
1964,6061
1029,1473
3150,3599
1178,1354
2811,2828
1561,1578
3384,6329
1430,5739
2377,4577
3979,5850
1205,6089
519,552
5159,5763
5346,7054
1958,4389
159,946
2731,3197
6038,6175
5066,7254
1441,3746
2434,6025
660,1344
4834,7367
164,2628
4920,6755
2498,5826
2809,3075
1328,5541
7488,6364
324,323
1585,3163
2198,4968
2116,2580
2082,2365
1851,2977
3266,6482
764,3105
616,2577
2270,3144
2963,5814
3252,6218
4762,5120
3486,3607
1978,5351
2081,4452
5268,6772
67,263
1125,7430
2834,3961
2896,7091
3160,4029
1564,3746
4899,6048
1714,3485
17,3157
182,4012
2274,7173
3150,3269
5931,5992
2695,3076
1827,3000
960,3837
3252,5444
1612,4197
4365,4456
1571,7045
3583,7102
148,5389
7473,7178
2558,5748
4389,5168
616,3123
2728,6879
84,5817
1312,3626
5383,7345
2833,6190
976,6354
853,4757
1885,5817
39,998
3259,5481
1092,1108
1322,6425
4256,6149
150,324
5593,5641
1251,2905
700,7226
2382,3129
5444,6038
5831,7127
5795,5811
3045,5953
454,1628
5495,5996
2895,2920
2325,5191
1236,7135
3586,5628
1956,4770
3274,4293
4970,6240
1788,2116
2112,3119
1711,2705
3758,4790
4424,7200
5283,6564
3275,4779
1829,5331
348,6604
3384,5124
310,5060
1659,3798
3572,6153
523,1729
4813,6849
5287,5978
608,7478
4196,7378
2024,2645
2013,2558
3076,3909
3008,3105
1074,1171
194,2640
2548,6883
1466,2043
449,5164
3147,3157
5471,7300
121,3145
651,2991
3158,3180
744,7448
794,2965
3618,4077
683,1270
3626,3936
4328,6742
2758,4053
5304,7111
375,5667
497,3580
174,2553
2745,3478
3928,6304
3107,3744
3061,6883
2098,3226
5518,7200
3095,5773
2705,3309
1904,3647
1219,1328
1318,2866
699,2698
4222,4905
3282,4011
3213,7220
5360,6300
3519,3744
4268,6300
1446,3205
1668,2617
4775,6645
1934,3216
5494,7304
2840,7367
695,6746
3933,6584
2794,3145
1256,1852
2037,7324
2577,6752
2451,3707
4968,5460
2068,2095
575,3134
5309,5350
980,5842
3108,7089
2565,7200
94,3266
1803,3150
5136,6115
6401,7089
3274,3892
1392,1410
1002,1235
5292,7308
687,7141
2986,3144
589,6017
3344,4226
585,4180
256,3309
1177,6747
4246,4349
6286,6283
3744,6608
2983,7264
3144,3267
1356,6390
1662,7458
453,491
3172,7221
1200,3485
108,3535
2049,3439
1473,7384
1291,2480
1307,6495
2116,5303
2112,2895
2116,6383
3539,3988
900,4012
3152,3252
1970,2727
950,6262
2077,3309
194,6439
1223,1829
3129,3408
508,5475
1620,6207
290,699
3094,6545
1942,3689
483,700
831,3115
2329,4147
2737,3076
3900,7156
6738,7125
3008,4782
2789,3026
2946,2994
3104,6718
1647,1946
895,6190
2392,5493
3338,4392
1901,2809
2174,2943
3252,6043
1766,2043
3085,6825
384,2569
2518,3022
442,1892
1317,2924
1491,1600
4435,7254
1636,2249
946,3443
1533,2750
3157,3274
768,6998
3463,4652
4195,7142
1343,3401
186,5064
4197,6307
2105,2794
508,3224
2250,6590
6078,6221
3157,3467
2794,4030
6683,6965
933,1356
998,4131
1313,3377
5477,6366
2531,3145
1049,2212
163,3391
1621,6410
5026,7260
1866,3343
3409,3751
6252,6947
3172,5583
3153,3157
3384,6497
797,4929
3983,5995
3350,4312
242,3560
2992,5806
1069,1430
442,7394
1385,1864
2368,2460
1283,4053
1893,3628
770,5201
5295,5505
1131,5351
3574,5510
352,4012
2565,3008
2491,3313
2326,2516
642,7382
5375,5812
3144,3536
1249,1415
3265,4982
765,2895
1372,3696
299,1659
317,1768
1729,6425
998,2882
1895,6281
4170,5929
2244,3248
3058,7033
3906,6484
2377,3980
4614,6718
1242,3205
1799,2659
1434,2626
1970,5873
2425,3989
1573,5812
3260,5817
1395,1629
3120,3917
1434,1706
3433,7021
1227,1792
194,222
6539,7009
52,541
2185,5099
57,6707
672,6191
3620,7073
917,2485
1479,2038
3350,5416
1069,3828
442,1633
4526,5953
2037,2427
3269,4012
3156,6038
3290,3586
296,3196
657,4280
1074,5867
1610,5250
1417,7089
3275,5390
1529,1537
3022,3107
1569,2414
4478,6883
2180,7149
2381,6434
4582,5852
1885,2607
4643,5711
1970,4735
788,986
3353,4075
261,1097
5181,5495
2331,5885
1918,5826
1666,3026
1092,1097
3275,4918
3284,6708
2379,3420
2050,3882
3022,3139
3837,6248
2038,3433
332,4012
2115,6524
5446,6609
2068,3000
1415,1507
1731,4044
209,3871
5179,6766
3076,3111
890,2029
3763,7058
501,4883
3115,5217
1743,1756
577,7289
244,1219
1584,2305
3820,5863
1205,2176
3144,4101
6149,6983
6972,7317
4293,6331
616,3121
694,1413
2865,6606
5410,6038
327,2572
1069,1777
1146,3379
500,3341
5696,6046
2649,7159
5045,5046
6038,6580
5630,5758
1086,1114
1083,1110
3961,7246
3390,6672
3060,6111
3912,5002
2195,4904
3843,6111
2048,4214
2575,3008
3754,4713
2558,3307
616,3160
2765,3612
1180,2997
1177,3138
585,3742
4889,7242
1357,2127
3047,3137
2983,6947
35,494
6606,7302
4504,5993
763,3061
6349,7155
5118,6497
2528,5838
133,702
4356,5355
384,601
1504,1811
5688,5695
1348,1713
2743,7065
5108,5593
2893,6128
3744,6919
4775,6067
2485,3384
2494,3773
599,6383
6339,6884
3384,6608
5977,7094
1019,1415
3123,6883
2415,3274
1357,2244
190,4551
3354,4378
4500,6986
2419,5299
133,6294
1117,3913
5355,6936
950,6816
2997,4094
2110,2169
5251,5438
3495,4283
5414,7094
5853,6883
1502,3314
1665,6999
1029,2015
1814,2932
2223,3313
2587,6346
6656,7263
1218,3746
5376,5713
6746,6752
3837,7130
1649,3010
1420,3165
3223,4001
645,3252
3151,3274
1515,1756
26,662
2950,5299
4440,6574
2834,4689
6149,7215
2742,3618
1270,5591
1934,1970
3979,5544
1553,3749
1511,6093
5657,7126
1961,5380
3889,4712
3626,4077
533,2756
